,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
49,30.78228,-1.0,0.001,-1.0,-1.0
50,28.42427,-1.0,0.001,-1.0,-1.0
51,28.899183,-1.0,0.001,-1.0,-1.0
52,24.811321,-1.0,0.001,-1.0,-1.0
53,25.357824,-1.0,0.001,-1.0,-1.0
54,23.552168,-1.0,0.001,-1.0,-1.0
55,29.343737,-1.0,0.001,-1.0,-1.0
56,27.3226,-1.0,0.001,-1.0,-1.0
57,25.892757,-1.0,0.001,-1.0,-1.0
58,25.333593,-1.0,0.001,-1.0,-1.0
59,21.068336,-1.0,0.001,-1.0,-1.0
60,24.009666,-1.0,0.001,-1.0,-1.0
61,25.371075,-1.0,0.001,-1.0,-1.0
62,20.373482,-1.0,0.001,-1.0,-1.0
63,20.944572,-1.0,0.001,-1.0,-1.0
64,22.659384,-1.0,0.001,-1.0,-1.0
65,20.64459,-1.0,0.001,-1.0,-1.0
66,20.61509,-1.0,0.001,-1.0,-1.0
67,21.296629,-1.0,0.001,-1.0,-1.0
68,21.139389,-1.0,0.001,-1.0,-1.0
69,20.364212,-1.0,0.001,-1.0,-1.0
70,22.66255,-1.0,0.001,-1.0,-1.0
71,18.12074,-1.0,0.001,-1.0,-1.0
72,20.518635,-1.0,0.001,-1.0,-1.0
73,18.808392,-1.0,0.001,-1.0,-1.0
74,20.081682,-1.0,0.001,-1.0,-1.0
75,23.719566,-1.0,0.001,-1.0,-1.0
76,18.959034,-1.0,0.001,-1.0,-1.0
77,19.345188,-1.0,0.001,-1.0,-1.0
78,17.064074,-1.0,0.001,-1.0,-1.0
79,19.69804,-1.0,0.001,-1.0,-1.0
80,18.693237,-1.0,0.001,-1.0,-1.0
81,17.80761,-1.0,0.001,-1.0,-1.0
82,20.048506,-1.0,0.001,-1.0,-1.0
83,17.612915,-1.0,0.001,-1.0,-1.0
84,16.645382,-1.0,0.001,-1.0,-1.0
85,20.301056,-1.0,0.001,-1.0,-1.0
