train_loss,val_loss,lr,mask_val_loss,regr_val_loss
9.638637,-1.0,0.001,-1.0,-1.0
13.026294,-1.0,0.001,-1.0,-1.0
12.857772,-1.0,0.001,-1.0,-1.0
15.090894,-1.0,0.001,-1.0,-1.0
11.366364,-1.0,0.001,-1.0,-1.0
11.9111,-1.0,0.001,-1.0,-1.0
11.69163,-1.0,0.001,-1.0,-1.0
12.562188,-1.0,0.001,-1.0,-1.0
9.285155,-1.0,0.001,-1.0,-1.0
16.058907,-1.0,0.001,-1.0,-1.0
11.443824,-1.0,0.001,-1.0,-1.0
12.655254,-1.0,0.001,-1.0,-1.0
11.293836,-1.0,0.001,-1.0,-1.0
11.737009,-1.0,0.001,-1.0,-1.0
11.466237,-1.0,0.001,-1.0,-1.0
11.131169,-1.0,0.001,-1.0,-1.0
13.336918,-1.0,0.001,-1.0,-1.0
10.771802,-1.0,0.001,-1.0,-1.0
14.588035,-1.0,0.001,-1.0,-1.0
11.176359,-1.0,0.001,-1.0,-1.0
11.14749,-1.0,0.001,-1.0,-1.0
10.957232,-1.0,0.001,-1.0,-1.0
12.588129,-1.0,0.001,-1.0,-1.0
11.052866,-1.0,0.001,-1.0,-1.0
14.980119,-1.0,0.001,-1.0,-1.0
10.570186,-1.0,0.001,-1.0,-1.0
11.408666,-1.0,0.001,-1.0,-1.0
12.670072,-1.0,0.001,-1.0,-1.0
10.829273,-1.0,0.001,-1.0,-1.0
11.825763,-1.0,0.001,-1.0,-1.0
10.327699,-1.0,0.001,-1.0,-1.0
10.453077,-1.0,0.001,-1.0,-1.0
9.710079,-1.0,0.001,-1.0,-1.0
11.088478,-1.0,0.001,-1.0,-1.0
12.298198,-1.0,0.001,-1.0,-1.0
9.726752,-1.0,0.001,-1.0,-1.0
10.415279,-1.0,0.001,-1.0,-1.0
8.779957,-1.0,0.001,-1.0,-1.0
10.415652,-1.0,0.001,-1.0,-1.0
9.402632,-1.0,0.001,-1.0,-1.0
11.278843,-1.0,0.001,-1.0,-1.0
11.222767,-1.0,0.001,-1.0,-1.0
9.238838,-1.0,0.001,-1.0,-1.0
13.951857,-1.0,0.001,-1.0,-1.0
7.7735896,-1.0,0.001,-1.0,-1.0
13.776131,-1.0,0.001,-1.0,-1.0
9.758705,-1.0,0.001,-1.0,-1.0
10.260429,-1.0,0.001,-1.0,-1.0
11.1857815,-1.0,0.001,-1.0,-1.0
10.84534,-1.0,0.001,-1.0,-1.0
8.864964,-1.0,0.001,-1.0,-1.0
9.767563,-1.0,0.001,-1.0,-1.0
10.952787,-1.0,0.001,-1.0,-1.0
12.750871,-1.0,0.001,-1.0,-1.0
