,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
121,10.514903,-1.0,0.001,-1.0,-1.0
122,9.729748,-1.0,0.001,-1.0,-1.0
123,10.656232,-1.0,0.001,-1.0,-1.0
124,9.001221,-1.0,0.001,-1.0,-1.0
125,7.906778,-1.0,0.001,-1.0,-1.0
126,9.212082,-1.0,0.001,-1.0,-1.0
127,9.8991375,-1.0,0.001,-1.0,-1.0
128,8.892929,-1.0,0.001,-1.0,-1.0
129,10.156193,-1.0,0.001,-1.0,-1.0
130,9.986883,-1.0,0.001,-1.0,-1.0
131,7.9190784,-1.0,0.001,-1.0,-1.0
132,9.77619,-1.0,0.001,-1.0,-1.0
133,10.499656,-1.0,0.001,-1.0,-1.0
134,9.492299,-1.0,0.001,-1.0,-1.0
135,8.274409,-1.0,0.001,-1.0,-1.0
136,9.599279,-1.0,0.001,-1.0,-1.0
137,11.3579,-1.0,0.001,-1.0,-1.0
138,8.2850485,-1.0,0.001,-1.0,-1.0
139,9.325394,-1.0,0.001,-1.0,-1.0
140,8.198391,-1.0,0.001,-1.0,-1.0
141,11.656838,-1.0,0.001,-1.0,-1.0
142,8.832277,-1.0,0.001,-1.0,-1.0
143,9.237752,-1.0,0.001,-1.0,-1.0
144,9.503608,-1.0,0.001,-1.0,-1.0
145,9.886182,-1.0,0.001,-1.0,-1.0
146,9.124071,-1.0,0.001,-1.0,-1.0
147,8.30658,-1.0,0.001,-1.0,-1.0
148,8.852221,-1.0,0.001,-1.0,-1.0
149,7.577984,-1.0,0.001,-1.0,-1.0
150,9.673365,-1.0,0.001,-1.0,-1.0
151,12.003319,-1.0,0.001,-1.0,-1.0
152,9.529555,-1.0,0.001,-1.0,-1.0
153,9.060688,-1.0,0.001,-1.0,-1.0
154,8.371389,-1.0,0.001,-1.0,-1.0
155,10.701965,-1.0,0.001,-1.0,-1.0
156,7.617534,-1.0,0.001,-1.0,-1.0
157,9.412785,-1.0,0.001,-1.0,-1.0
158,8.4826565,-1.0,0.001,-1.0,-1.0
159,9.380775,-1.0,0.001,-1.0,-1.0
160,8.2634945,-1.0,0.001,-1.0,-1.0
161,8.109539,-1.0,0.001,-1.0,-1.0
162,9.192366,-1.0,0.001,-1.0,-1.0
163,6.6344852,-1.0,0.001,-1.0,-1.0
164,9.793821,-1.0,0.001,-1.0,-1.0
165,10.280032,-1.0,0.001,-1.0,-1.0
166,7.768794,-1.0,0.001,-1.0,-1.0
167,6.131135,-1.0,0.001,-1.0,-1.0
168,8.087713,-1.0,0.001,-1.0,-1.0
169,8.049309,-1.0,0.001,-1.0,-1.0
170,6.485858,-1.0,0.001,-1.0,-1.0
171,9.674084,-1.0,0.001,-1.0,-1.0
172,8.095819,-1.0,0.001,-1.0,-1.0
173,11.024186,-1.0,0.001,-1.0,-1.0
174,6.9144616,-1.0,0.001,-1.0,-1.0
175,7.8142953,-1.0,0.001,-1.0,-1.0
176,9.385976,-1.0,0.001,-1.0,-1.0
177,8.266393,-1.0,0.001,-1.0,-1.0
178,8.812494,-1.0,0.001,-1.0,-1.0
179,6.853447,-1.0,0.001,-1.0,-1.0
180,6.3982553,-1.0,0.001,-1.0,-1.0
